ParticipantID,Age,Gender,Ratings,Angle,Physical Distance,Perceived Distance
2,26,m,2,0,5.27,1.3825
2,26,m,2,270,5.5,4.1466
2,26,m,2,270,3.77,1.8454
2,26,m,2,135,5.27,2.4169
2,26,m,2,225,1.43,1.2998
2,26,m,2,45,1.43,2.2539
2,26,m,2,180,6.0,5.3229
2,26,m,2,315,3.44,2.2551
2,26,m,2,270,1.43,0.7055
2,26,m,2,315,6.0,4.1536
2,26,m,2,315,3.77,4.3367
2,26,m,2,225,3.77,3.6668
2,26,m,2,90,1.43,1.426
2,26,m,2,315,1.43,0.5809
2,26,m,2,180,3.77,2.6305
2,26,m,2,90,5.27,3.8463
2,26,m,2,90,3.77,3.8226
2,26,m,2,225,5.27,4.8937
2,26,m,2,135,3.77,1.3441
2,26,m,2,225,6.0,4.6824
2,26,m,2,45,5.27,3.0553
2,26,m,2,270,3.44,3.7259
2,26,m,2,0,1.43,1.8358
2,26,m,2,0,5.5,5.1122
2,26,m,2,270,6.0,4.2521
2,26,m,2,315,5.27,5.0957
2,26,m,2,0,3.77,2.6742
2,26,m,2,45,3.77,2.9464
2,26,m,2,90,5.5,5.0926
2,26,m,2,180,3.44,3.3055
2,26,m,2,90,6.0,3.0228
2,26,m,2,45,5.5,4.4465
2,26,m,2,45,6.0,3.8463
2,26,m,2,0,6.0,4.4794
2,26,m,2,180,5.27,3.3095
2,26,m,2,135,3.44,2.0125
2,26,m,2,0,3.44,2.4934
2,26,m,2,45,3.44,2.1529
2,26,m,2,270,5.27,2.8725
2,26,m,2,225,3.44,2.4291
2,26,m,2,315,5.5,3.6067
2,26,m,2,225,5.5,2.2204
2,26,m,2,135,5.5,4.406
2,26,m,2,180,1.43,0.3172
2,26,m,2,180,5.5,2.7409
2,26,m,2,90,3.44,2.8102
2,26,m,2,135,6.0,3.6061
2,26,m,2,135,1.43,0.9218
3,27,m,1,135,3.77,2.9875
3,27,m,1,135,5.5,2.9949
3,27,m,1,0,1.43,0.7171
3,27,m,1,225,5.5,3.9281
3,27,m,1,315,5.5,5.3082
3,27,m,1,270,3.44,4.7596
3,27,m,1,45,1.43,1.9375
3,27,m,1,180,5.27,3.9294
3,27,m,1,45,3.77,2.9634
3,27,m,1,225,5.27,4.5499
3,27,m,1,45,6.0,2.255
3,27,m,1,45,5.5,2.3149
3,27,m,1,225,6.0,4.7102
3,27,m,1,180,3.77,3.4584
3,27,m,1,0,5.5,2.4
3,27,m,1,0,5.27,1.617
3,27,m,1,180,6.0,3.7284
3,27,m,1,45,5.27,1.8745
3,27,m,1,225,3.44,4.23
3,27,m,1,135,5.27,3.1065
3,27,m,1,315,1.43,1.089
3,27,m,1,90,3.77,2.716
3,27,m,1,315,5.27,5.6996
3,27,m,1,135,3.44,2.5656
3,27,m,1,315,6.0,5.7391
3,27,m,1,45,3.44,2.0664
3,27,m,1,180,5.5,3.6061
3,27,m,1,135,6.0,2.8046
3,27,m,1,270,6.0,4.8282
3,27,m,1,270,1.43,1.7179
3,27,m,1,270,5.27,4.9398
3,27,m,1,180,1.43,3.318
3,27,m,1,180,3.44,3.058
3,27,m,1,90,1.43,1.5347
3,27,m,1,270,3.77,4.7708
3,27,m,1,135,1.43,1.847
3,27,m,1,315,3.77,5.0302
3,27,m,1,225,3.77,4.2482
3,27,m,1,0,3.77,1.0878
3,27,m,1,225,1.43,1.6639
3,27,m,1,315,3.44,4.3284
3,27,m,1,90,6.0,2.6775
3,27,m,1,0,3.44,1.9099
3,27,m,1,270,5.5,4.8281
3,27,m,1,0,6.0,1.7982
3,27,m,1,90,5.27,2.2373
3,27,m,1,90,5.5,1.6445
3,27,m,1,90,3.44,2.1062
5,27,f,2,45,6.0,2.6823
5,27,f,2,315,3.44,3.6544
5,27,f,2,0,6.0,4.4476
5,27,f,2,180,5.27,2.621
5,27,f,2,180,3.44,2.8251
5,27,f,2,135,3.44,0.01
5,27,f,2,270,5.5,4.9997
5,27,f,2,45,5.27,5.288
5,27,f,2,180,3.77,2.5657
5,27,f,2,225,3.44,3.2063
5,27,f,2,45,5.5,4.4465
5,27,f,2,270,3.44,4.6772
5,27,f,2,315,3.77,5.1539
5,27,f,2,45,3.77,3.1764
5,27,f,2,90,6.0,4.4745
5,27,f,2,45,3.44,2.1939
5,27,f,2,270,1.43,0.0436
5,27,f,2,315,5.27,5.4645
5,27,f,2,180,1.43,3.0759
5,27,f,2,0,1.43,5.0209
5,27,f,2,270,6.0,3.766
5,27,f,2,135,6.0,3.6167
5,27,f,2,90,5.27,4.5992
5,27,f,2,225,5.27,3.283
5,27,f,2,225,5.5,3.5674
5,27,f,2,45,1.43,2.3255
5,27,f,2,0,3.77,4.7847
5,27,f,2,90,5.5,4.3162
5,27,f,2,135,5.5,4.6752
5,27,f,2,270,3.77,3.3213
5,27,f,2,0,3.44,2.5686
5,27,f,2,90,3.77,2.5703
5,27,f,2,135,5.27,3.995
5,27,f,2,225,3.77,4.8555
5,27,f,2,180,6.0,3.4358
5,27,f,2,225,1.43,0.0424
5,27,f,2,135,3.77,3.9152
5,27,f,2,90,3.44,2.9955
5,27,f,2,315,6.0,4.8555
5,27,f,2,225,6.0,4.084
5,27,f,2,270,5.27,3.3959
5,27,f,2,180,5.5,2.9755
5,27,f,2,90,1.43,2.3885
5,27,f,2,135,1.43,2.503
5,27,f,2,315,1.43,1.495
5,27,f,2,0,5.27,0.1158
5,27,f,2,315,5.5,4.915
5,27,f,2,0,5.5,4.5663
6,27,m,5,315,5.5,2.605
6,27,m,5,0,5.27,4.4486
6,27,m,5,315,6.0,4.2977
6,27,m,5,270,1.43,1.8474
6,27,m,5,225,5.27,3.6828
6,27,m,5,225,6.0,4.5593
6,27,m,5,225,3.44,4.9224
6,27,m,5,0,5.5,2.835
6,27,m,5,135,3.44,4.2421
6,27,m,5,45,5.27,4.196
6,27,m,5,180,5.27,3.6925
6,27,m,5,315,1.43,0.2287
6,27,m,5,90,1.43,1.9629
6,27,m,5,90,5.27,4.834
6,27,m,5,45,3.44,2.4117
6,27,m,5,0,3.77,3.0277
6,27,m,5,0,6.0,4.6456
6,27,m,5,180,3.77,4.7605
6,27,m,5,315,3.44,2.3315
6,27,m,5,90,5.5,4.8092
6,27,m,5,135,5.5,5.3312
6,27,m,5,135,5.27,6.0768
6,27,m,5,45,5.5,4.8631
6,27,m,5,270,5.5,4.7877
6,27,m,5,180,1.43,1.5769
6,27,m,5,45,6.0,3.8625
6,27,m,5,180,3.44,2.4096
6,27,m,5,90,3.77,4.6029
6,27,m,5,315,5.27,4.5975
6,27,m,5,0,1.43,1.2184
6,27,m,5,180,5.5,5.1611
6,27,m,5,90,6.0,5.2574
6,27,m,5,90,3.44,5.786
6,27,m,5,45,3.77,3.6312
6,27,m,5,135,6.0,4.0614
6,27,m,5,225,5.5,3.8508
6,27,m,5,270,3.77,3.9515
6,27,m,5,180,6.0,2.4371
6,27,m,5,270,6.0,3.1803
6,27,m,5,135,1.43,1.5741
6,27,m,5,45,1.43,1.8244
6,27,m,5,0,3.44,3.7443
6,27,m,5,270,3.44,3.4415
6,27,m,5,135,3.77,2.7912
6,27,m,5,270,5.27,3.922
6,27,m,5,315,3.77,5.3408
6,27,m,5,225,3.77,4.269
6,27,m,5,225,1.43,1.3394
7,30,m,2,90,6.0,1.45
7,30,m,2,135,3.44,2.0004
7,30,m,2,315,5.27,2.9283
7,30,m,2,180,1.43,1.0402
7,30,m,2,45,1.43,1.6701
7,30,m,2,90,3.77,3.3026
7,30,m,2,90,5.27,3.4665
7,30,m,2,315,5.5,3.8533
7,30,m,2,225,5.27,4.1944
7,30,m,2,45,5.5,4.9154
7,30,m,2,180,6.0,4.2347
7,30,m,2,270,3.44,2.1612
7,30,m,2,0,3.44,4.5436
7,30,m,2,315,3.77,2.6819
7,30,m,2,270,3.77,3.243
7,30,m,2,135,3.77,1.6005
7,30,m,2,0,5.27,2.1918
7,30,m,2,270,5.27,5.0048
7,30,m,2,180,3.77,1.2102
7,30,m,2,135,5.5,4.6657
7,30,m,2,90,1.43,0.6807
7,30,m,2,180,5.5,3.3538
7,30,m,2,225,3.77,4.0855
7,30,m,2,135,5.27,4.8542
7,30,m,2,90,5.5,5.4533
7,30,m,2,0,5.5,3.9546
7,30,m,2,45,6.0,4.3737
7,30,m,2,225,5.5,2.9917
7,30,m,2,0,3.77,0.9235
7,30,m,2,270,6.0,4.3929
7,30,m,2,135,6.0,5.0544
7,30,m,2,270,5.5,2.6005
7,30,m,2,0,6.0,5.1439
7,30,m,2,45,3.77,3.8819
7,30,m,2,315,3.44,1.8932
7,30,m,2,225,6.0,3.1036
7,30,m,2,135,1.43,0.9203
7,30,m,2,315,6.0,4.5944
7,30,m,2,90,3.44,3.0106
7,30,m,2,180,5.27,4.0628
7,30,m,2,45,5.27,3.9504
7,30,m,2,270,1.43,0.7356
7,30,m,2,45,3.44,4.7447
7,30,m,2,0,1.43,0.7601
7,30,m,2,180,3.44,3.9157
7,30,m,2,315,1.43,0.4837
7,30,m,2,225,3.44,3.3026
7,30,m,2,225,1.43,0.5908
8,32,m,4,315,5.27,2.5817
8,32,m,4,270,6.0,3.9106
8,32,m,4,180,3.77,2.3527
8,32,m,4,90,3.44,4.3908
8,32,m,4,270,3.44,3.0108
8,32,m,4,135,5.27,4.9922
8,32,m,4,315,3.77,2.8214
8,32,m,4,315,1.43,0.2555
8,32,m,4,225,3.44,2.1317
8,32,m,4,0,6.0,4.1825
8,32,m,4,225,1.43,0.6505
8,32,m,4,225,6.0,3.5537
8,32,m,4,90,1.43,1.3126
8,32,m,4,45,3.77,4.8209
8,32,m,4,180,6.0,4.8311
8,32,m,4,315,6.0,1.1025
8,32,m,4,45,5.27,3.5407
8,32,m,4,90,5.5,5.0115
8,32,m,4,315,3.44,2.9412
8,32,m,4,45,6.0,4.2419
8,32,m,4,135,3.77,2.6609
8,32,m,4,0,5.5,4.9431
8,32,m,4,225,5.5,2.7293
8,32,m,4,45,1.43,1.3132
8,32,m,4,225,3.77,2.8336
8,32,m,4,270,5.5,4.7617
8,32,m,4,180,3.44,2.5226
8,32,m,4,180,1.43,0.508
8,32,m,4,135,3.44,3.2008
8,32,m,4,270,5.27,4.0008
8,32,m,4,0,3.44,4.1722
8,32,m,4,270,3.77,2.9915
8,32,m,4,0,3.77,2.3311
8,32,m,4,90,5.27,4.1409
8,32,m,4,135,1.43,0.6709
8,32,m,4,135,5.5,3.8608
8,32,m,4,90,3.77,3.4212
8,32,m,4,180,5.27,4.2004
8,32,m,4,0,1.43,0.3723
8,32,m,4,0,5.27,4.6622
8,32,m,4,180,5.5,4.2806
8,32,m,4,315,5.5,4.8544
8,32,m,4,45,5.5,4.2128
8,32,m,4,270,1.43,0.5696
8,32,m,4,225,5.27,3.481
8,32,m,4,90,6.0,4.7709
8,32,m,4,135,6.0,4.7405
8,32,m,4,45,3.44,3.6409
10,25,m,3,225,6.0,4.1434
10,25,m,3,225,3.44,2.6943
10,25,m,3,135,1.43,1.4319
10,25,m,3,90,5.5,3.6536
10,25,m,3,315,5.27,2.2529
10,25,m,3,45,3.77,2.673
10,25,m,3,225,1.43,1.8769
10,25,m,3,135,3.44,4.5745
10,25,m,3,135,6.0,5.3245
10,25,m,3,180,5.5,3.424
10,25,m,3,45,6.0,2.3544
10,25,m,3,315,3.44,2.5339
10,25,m,3,0,1.43,1.6134
10,25,m,3,225,5.27,2.4536
10,25,m,3,135,3.77,3.8141
10,25,m,3,315,3.77,3.6147
10,25,m,3,0,3.77,3.2237
10,25,m,3,45,3.44,3.3316
10,25,m,3,45,5.27,4.2335
10,25,m,3,45,5.5,2.1681
10,25,m,3,90,3.77,2.9546
10,25,m,3,0,3.44,4.1073
10,25,m,3,180,3.77,2.3632
10,25,m,3,180,3.44,1.9528
10,25,m,3,270,3.77,4.778
10,25,m,3,45,1.43,1.1895
10,25,m,3,90,3.44,2.4115
10,25,m,3,270,5.5,5.0141
10,25,m,3,315,5.5,3.4522
10,25,m,3,180,6.0,2.5617
10,25,m,3,0,5.5,3.3035
10,25,m,3,0,5.27,1.4553
10,25,m,3,270,1.43,0.9179
10,25,m,3,0,6.0,4.864
10,25,m,3,180,1.43,2.4709
10,25,m,3,90,6.0,4.4816
10,25,m,3,225,5.5,3.6525
10,25,m,3,135,5.27,4.762
10,25,m,3,135,5.5,3.492
10,25,m,3,180,5.27,2.4615
10,25,m,3,225,3.77,2.0003
10,25,m,3,270,5.27,1.7105
10,25,m,3,90,1.43,1.1604
10,25,m,3,315,6.0,3.6423
10,25,m,3,315,1.43,2.4905
10,25,m,3,270,6.0,2.3107
10,25,m,3,270,3.44,3.1522
10,25,m,3,90,5.27,1.2269
11,21,f,1,315,5.5,1.6337
11,21,f,1,270,3.44,3.1852
11,21,f,1,0,5.27,3.9873
11,21,f,1,135,5.27,4.6463
11,21,f,1,225,6.0,4.4178
11,21,f,1,315,3.44,1.5626
11,21,f,1,135,3.44,2.1253
11,21,f,1,90,3.77,4.0971
11,21,f,1,180,5.27,4.846
11,21,f,1,45,1.43,1.1921
11,21,f,1,90,6.0,5.328
11,21,f,1,90,5.27,5.0849
11,21,f,1,315,5.27,4.3063
11,21,f,1,90,3.44,2.6144
11,21,f,1,180,3.44,2.4135
11,21,f,1,270,1.43,1.1528
11,21,f,1,45,3.44,2.2949
11,21,f,1,45,6.0,4.5669
11,21,f,1,0,1.43,0.3513
11,21,f,1,315,1.43,3.9175
11,21,f,1,315,6.0,4.106
11,21,f,1,270,5.27,2.7142
11,21,f,1,45,5.27,5.0968
11,21,f,1,180,3.77,1.8945
11,21,f,1,135,6.0,4.9175
11,21,f,1,270,6.0,5.4952
11,21,f,1,45,5.5,5.1578
11,21,f,1,180,5.5,3.736
11,21,f,1,270,3.77,2.4036
11,21,f,1,180,6.0,4.3385
11,21,f,1,225,3.44,4.1227
11,21,f,1,135,3.77,4.0174
11,21,f,1,90,1.43,0.9427
11,21,f,1,225,5.27,3.6256
11,21,f,1,45,3.77,2.0348
11,21,f,1,225,3.77,4.5071
11,21,f,1,0,6.0,5.2287
11,21,f,1,315,3.77,1.5355
11,21,f,1,0,3.77,3.0316
11,21,f,1,270,5.5,5.2393
11,21,f,1,225,5.5,4.4283
11,21,f,1,135,5.5,4.9082
11,21,f,1,180,1.43,1.3056
11,21,f,1,135,1.43,1.5639
11,21,f,1,0,3.44,5.2671
11,21,f,1,0,5.5,4.6064
11,21,f,1,225,1.43,0.051
11,21,f,1,90,5.5,5.4878
12,28,m,3,225,3.77,2.4105
12,28,m,3,315,3.77,2.3434
12,28,m,3,135,6.0,3.5606
12,28,m,3,180,3.77,2.5005
12,28,m,3,180,5.5,3.3808
12,28,m,3,135,3.44,2.7003
12,28,m,3,270,1.43,1.2121
12,28,m,3,225,6.0,3.8754
12,28,m,3,180,1.43,1.3729
12,28,m,3,270,6.0,4.9225
12,28,m,3,90,3.77,3.2005
12,28,m,3,270,3.77,2.951
12,28,m,3,0,3.77,3.1356
12,28,m,3,90,1.43,0.9427
12,28,m,3,315,6.0,5.5315
12,28,m,3,135,3.77,3.0404
12,28,m,3,45,1.43,0.9638
12,28,m,3,135,5.27,5.2193
12,28,m,3,180,6.0,5.2524
12,28,m,3,225,1.43,1.4914
12,28,m,3,90,5.27,5.5527
12,28,m,3,225,5.5,3.992
12,28,m,3,90,3.44,2.8905
12,28,m,3,180,3.44,2.9644
12,28,m,3,45,5.5,5.2628
12,28,m,3,90,6.0,5.6133
12,28,m,3,315,1.43,2.3353
12,28,m,3,0,6.0,4.572
12,28,m,3,135,5.5,5.2825
12,28,m,3,315,5.5,5.5754
12,28,m,3,270,5.5,3.9293
12,28,m,3,225,3.44,2.7208
12,28,m,3,0,5.5,3.8611
12,28,m,3,45,3.77,3.0017
12,28,m,3,315,5.27,4.0713
12,28,m,3,270,3.44,2.5508
12,28,m,3,270,5.27,3.9122
12,28,m,3,45,5.27,3.6112
12,28,m,3,225,5.27,3.9344
12,28,m,3,180,5.27,3.717
12,28,m,3,45,3.44,2.5913
12,28,m,3,135,1.43,1.0659
12,28,m,3,315,3.44,2.8913
12,28,m,3,45,6.0,5.4513
12,28,m,3,90,5.5,5.572
12,28,m,3,0,5.27,4.0432
12,28,m,3,0,3.44,2.9809
12,28,m,3,0,1.43,1.1738
13,28,m,4,0,5.27,2.2135
13,28,m,4,270,5.5,1.6509
13,28,m,4,270,3.77,2.3819
13,28,m,4,135,5.27,3.0604
13,28,m,4,225,1.43,0.5722
13,28,m,4,45,1.43,0.7231
13,28,m,4,180,6.0,4.3808
13,28,m,4,315,1.43,2.2222
13,28,m,4,270,1.43,1.4335
13,28,m,4,315,6.0,5.1417
13,28,m,4,315,3.77,3.6619
13,28,m,4,225,3.77,3.8817
13,28,m,4,90,1.43,1.1329
13,28,m,4,315,3.44,4.1603
13,28,m,4,180,3.77,3.7228
13,28,m,4,90,5.27,2.311
13,28,m,4,90,3.77,3.5315
13,28,m,4,225,5.27,4.081
13,28,m,4,135,3.77,2.5117
13,28,m,4,225,6.0,4.1623
13,28,m,4,45,5.27,2.4014
13,28,m,4,270,3.44,2.4512
13,28,m,4,0,1.43,3.232
13,28,m,4,0,5.5,3.8334
13,28,m,4,270,6.0,3.1416
13,28,m,4,315,5.27,3.7931
13,28,m,4,0,3.77,3.7517
13,28,m,4,45,3.77,1.8237
13,28,m,4,90,5.5,4.4321
13,28,m,4,180,3.44,3.7917
13,28,m,4,90,6.0,3.1815
13,28,m,4,45,5.5,2.2716
13,28,m,4,45,6.0,2.3514
13,28,m,4,0,6.0,3.0143
13,28,m,4,180,5.27,3.5205
13,28,m,4,135,3.44,2.2119
13,28,m,4,0,3.44,2.4921
13,28,m,4,45,3.44,3.0726
13,28,m,4,270,5.27,3.3729
13,28,m,4,225,3.44,2.1609
13,28,m,4,315,5.5,3.8722
13,28,m,4,225,5.5,3.4737
13,28,m,4,135,5.5,2.9918
13,28,m,4,180,1.43,1.1941
13,28,m,4,180,5.5,4.0311
13,28,m,4,90,3.44,1.8021
13,28,m,4,135,6.0,3.9117
13,28,m,4,135,1.43,0.8566
14,23,f,3,135,3.77,2.1224
14,23,f,3,135,5.5,2.1928
14,23,f,3,0,1.43,3.3087
14,23,f,3,225,5.5,4.8759
14,23,f,3,315,5.5,4.2912
14,23,f,3,270,3.44,3.0411
14,23,f,3,45,1.43,3.1636
14,23,f,3,180,5.27,4.8637
14,23,f,3,45,3.77,4.1035
14,23,f,3,225,5.27,3.8647
14,23,f,3,45,6.0,5.0073
14,23,f,3,45,5.5,3.4178
14,23,f,3,225,6.0,5.1771
14,23,f,3,180,3.77,3.3429
14,23,f,3,0,5.5,4.8128
14,23,f,3,0,5.27,4.83
14,23,f,3,180,6.0,3.3748
14,23,f,3,45,5.27,4.5768
14,23,f,3,225,3.44,2.8903
14,23,f,3,135,5.27,4.7067
14,23,f,3,315,1.43,1.7324
14,23,f,3,90,3.77,3.3454
14,23,f,3,315,5.27,4.8457
14,23,f,3,135,3.44,2.8437
14,23,f,3,315,6.0,4.1631
14,23,f,3,45,3.44,2.6942
14,23,f,3,180,5.5,2.3968
14,23,f,3,135,6.0,4.0278
14,23,f,3,270,6.0,4.9281
14,23,f,3,270,1.43,2.5938
14,23,f,3,270,5.27,4.5354
14,23,f,3,180,1.43,1.9857
14,23,f,3,180,3.44,2.6461
14,23,f,3,90,1.43,1.6659
14,23,f,3,270,3.77,4.2623
14,23,f,3,135,1.43,2.6128
14,23,f,3,315,3.77,3.4171
14,23,f,3,225,3.77,3.3264
14,23,f,3,0,3.77,4.6878
14,23,f,3,225,1.43,1.8446
14,23,f,3,315,3.44,2.3322
14,23,f,3,90,6.0,4.1743
14,23,f,3,0,3.44,4.5159
14,23,f,3,270,5.5,4.7847
14,23,f,3,0,6.0,4.7577
14,23,f,3,90,5.27,4.6467
14,23,f,3,90,5.5,4.2862
14,23,f,3,90,3.44,4.0345
15,39,m,4,45,6.0,4.8668
15,39,m,4,315,1.43,0.7913
15,39,m,4,0,6.0,4.5172
15,39,m,4,180,5.27,3.0635
15,39,m,4,180,3.44,2.8117
15,39,m,4,135,3.44,3.4153
15,39,m,4,270,5.5,4.8303
15,39,m,4,45,5.27,4.5554
15,39,m,4,180,3.77,2.8014
15,39,m,4,225,3.44,3.3951
15,39,m,4,45,5.5,3.8985
15,39,m,4,270,3.44,3.2616
15,39,m,4,315,3.77,3.7959
15,39,m,4,45,3.77,3.969
15,39,m,4,90,6.0,4.9916
15,39,m,4,45,3.44,4.326
15,39,m,4,270,1.43,1.8343
15,39,m,4,315,5.27,4.7298
15,39,m,4,180,1.43,2.0248
15,39,m,4,0,1.43,2.0334
15,39,m,4,270,6.0,5.2653
15,39,m,4,135,6.0,4.8132
15,39,m,4,90,5.27,1.3867
15,39,m,4,225,5.27,3.4026
15,39,m,4,225,5.5,3.4046
15,39,m,4,45,1.43,2.3417
15,39,m,4,0,3.77,4.4531
15,39,m,4,90,5.5,5.1211
15,39,m,4,135,5.5,4.0976
15,39,m,4,270,3.77,3.3429
15,39,m,4,0,3.44,3.9448
15,39,m,4,90,3.77,4.2619
15,39,m,4,135,5.27,3.8037
15,39,m,4,225,3.77,3.384
15,39,m,4,180,6.0,4.0083
15,39,m,4,225,1.43,1.7342
15,39,m,4,135,3.77,4.5119
15,39,m,4,90,3.44,4.0694
15,39,m,4,315,6.0,3.5681
15,39,m,4,225,6.0,4.5989
15,39,m,4,270,5.27,3.9284
15,39,m,4,180,5.5,4.9476
15,39,m,4,90,1.43,1.7336
15,39,m,4,135,1.43,2.4691
15,39,m,4,315,3.44,3.5535
15,39,m,4,0,5.27,3.9845
15,39,m,4,315,5.5,5.2894
15,39,m,4,0,5.5,3.9765
